City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Kapaa,US,22.0752,-159.319,71.92,78,20,14.97,few clouds
79,Lethem,GY,3.3803,-59.7968,96.01,30,42,11.7,scattered clouds
80,Rockingham,US,42.9668,-71.0995,21.13,51,66,4.0,broken clouds
81,Kirakira,SB,-10.4544,161.9205,80.2,84,100,4.65,moderate rain
82,Bull Savanna,JM,17.8868,-77.5902,76.01,64,14,4.83,few clouds
83,Longyearbyen,SJ,78.2186,15.6401,10.24,67,20,18.41,few clouds
84,Mahibadhoo,MV,3.7833,72.9667,82.58,74,100,13.33,overcast clouds
85,Avarua,CK,-21.2078,-159.775,78.85,89,75,11.5,broken clouds
86,Vaini,TO,-21.2,-175.2,80.46,77,100,11.88,overcast clouds
87,New Norfolk,AU,-42.7826,147.0587,56.75,76,2,2.01,clear sky
88,Tasiilaq,GL,65.6145,-37.6368,8.76,35,0,33.93,clear sky
89,Cidreira,BR,-30.1811,-50.2056,76.98,57,8,14.83,clear sky
90,Lavrentiya,RU,65.5833,-171.0,-4.68,87,4,4.92,clear sky
91,Port Elizabeth,ZA,-33.918,25.5701,79.11,83,20,13.8,few clouds
92,Hobyo,SO,5.3505,48.5268,77.38,74,93,16.44,light rain
93,Tiksi,RU,71.6872,128.8694,-16.71,100,80,4.23,broken clouds
94,Cherdyn,RU,60.403,56.4787,7.47,98,99,3.04,overcast clouds
95,Bethel,US,41.3712,-73.414,22.1,52,0,1.99,clear sky
96,Hilo,US,19.7297,-155.09,66.4,78,0,6.91,clear sky
97,Hasaki,JP,35.7333,140.8333,34.2,50,95,14.72,overcast clouds
98,Lokosovo,RU,61.1333,74.8167,8.89,93,100,7.4,overcast clouds
99,Arlit,NE,18.7369,7.3853,75.11,12,3,21.99,clear sky
100,Burnie,AU,-41.0667,145.9167,61.07,91,49,4.41,scattered clouds
101,Mumbwa,ZM,-14.9783,27.0619,66.43,95,100,4.27,light rain
102,Kahului,US,20.8947,-156.47,73.85,72,0,4.61,clear sky
103,Alcantara,BR,-2.4089,-44.4147,88.0,72,76,10.2,broken clouds
104,Seoul,KR,37.5683,126.9778,24.31,57,0,1.14,clear sky
105,Mapastepec,MX,15.4333,-92.9,89.08,34,1,2.82,clear sky
106,Hami,CN,42.8,93.45,24.55,39,100,2.89,overcast clouds
107,Omsukchan,RU,62.5333,155.8,-12.42,100,100,5.53,overcast clouds
108,Cesky Krumlov,CZ,48.8109,14.3152,39.74,74,31,17.49,scattered clouds
109,Banyo,CM,6.75,11.8167,79.66,19,88,3.94,overcast clouds
110,Klaksvik,FO,62.2266,-6.589,34.72,93,100,15.86,overcast clouds
111,Kamaishi,JP,39.2667,141.8833,25.32,60,40,9.28,scattered clouds
